ID	allele_type
YERS_1208	core
YERS_1209	core
YERS_1210	core
YERS_1211	core
YERS_1212	core
YERS_1213	core
YERS_1214	core
YERS_1215	core
YERS_1216	core
YERS_1217	core
YERS_1218	core
YERS_1219	core
YERS_1220	core
YERS_1221	core
YERS_1222	core
YERS_1223	core
YERS_1224	core
YERS_1225	core
YERS_1226	core
YERS_1227	core
YERS_1228	core
YERS_1229	core
YERS_1230	core
YERS_1231	core
YERS_1232	core
YERS_1233	core
YERS_1234	core
YERS_1235	core
YERS_1236	core
YERS_1237	core
YERS_1238	core
YERS_1239	core
YERS_1240	core
YERS_1241	core
YERS_1242	core
YERS_1243	core
YERS_1244	core
YERS_1245	core
YERS_1246	core
YERS_1247	core
YERS_1248	core
YERS_1249	core
YERS_1250	core
YERS_1251	core
YERS_1252	core
YERS_1253	core
YERS_1254	core
YERS_1255	core
YERS_1256	core
YERS_1257	core
YERS_1258	core
YERS_1259	core
YERS_1260	core
YERS_1261	core
YERS_1262	core
YERS_1263	core
YERS_1264	core
YERS_1265	core
YERS_1266	core
YERS_1267	core
YERS_1268	core
YERS_1269	core
YERS_1270	core
YERS_1271	core
YERS_1272	core
YERS_1273	core
YERS_1274	core
YERS_1275	core
YERS_1276	core
YERS_1277	core
YERS_1278	core
YERS_1279	core
YERS_1280	core
YERS_1281	core
YERS_1282	core
YERS_1283	core
YERS_1284	core
YERS_1285	core
YERS_1286	core
YERS_1287	core
YERS_1288	core
YERS_1289	core
YERS_1290	core
YERS_1291	core
YERS_1292	core
YERS_1293	core
YERS_1294	core
YERS_1295	core
YERS_1296	core
YERS_1297	core
YERS_1298	core
YERS_1299	core
YERS_1300	core
YERS_1301	core
YERS_1302	core
YERS_1303	core
YERS_1304	core
YERS_1305	core
YERS_1306	core
YERS_1307	core
YERS_1308	core
YERS_1309	core
YERS_1310	core
YERS_1311	core
YERS_1312	core
YERS_1313	core
YERS_1314	core
YERS_1315	core
YERS_1316	core
YERS_1317	core
YERS_1318	core
YERS_1319	core
YERS_1320	core
YERS_1321	core
YERS_1322	core
YERS_1323	core
YERS_1324	core
YERS_1325	core
YERS_1326	core
YERS_1327	core
YERS_1328	core
YERS_1329	core
YERS_1330	core
YERS_1331	core
YERS_1332	core
YERS_1333	core
YERS_1334	core
YERS_1335	core
YERS_1336	core
YERS_1337	core
YERS_1338	core
YERS_1339	core
YERS_1340	core
YERS_1341	core
YERS_1342	core
YERS_1343	core
YERS_1344	core
YERS_1345	core
YERS_1346	core
YERS_1347	core
YERS_1348	core
YERS_1349	core
YERS_1350	core
YERS_1351	core
YERS_1352	core
YERS_1353	core
YERS_1354	core
YERS_1355	core
YERS_1356	core
YERS_1357	core
YERS_1358	core
YERS_1359	core
YERS_1360	core
YERS_1361	core
YERS_1362	core
YERS_1363	core
YERS_1364	core
YERS_1365	core
YERS_1366	core
YERS_1367	core
YERS_1368	core
YERS_1369	core
YERS_1370	core
YERS_1371	core
YERS_1372	core
YERS_1373	core
YERS_1374	core
YERS_1375	core
YERS_1376	core
YERS_1377	core
YERS_1378	core
YERS_1379	core
YERS_1380	core
YERS_1381	core
YERS_1382	core
YERS_1383	core
YERS_1384	core
YERS_1385	core
YERS_1386	core
YERS_1387	core
YERS_1388	core
YERS_1389	core
YERS_1390	core
YERS_1391	core
YERS_1392	core
YERS_1393	core
YERS_1394	core
YERS_1395	core
YERS_1396	core
YERS_1397	core
YERS_1398	core
YERS_1399	core
YERS_1400	core
YERS_1401	core
YERS_1402	core
YERS_1403	core
YERS_1404	core
YERS_1405	core
YERS_1406	core
YERS_1407	core
YERS_1408	core
YERS_1409	core
YERS_1410	core
YERS_1411	core
YERS_1412	core
YERS_1413	core
YERS_1414	core
YERS_1415	core
YERS_1416	core
YERS_1417	core
YERS_1418	core
YERS_1419	core
YERS_1420	core
YERS_1421	core
YERS_1422	core
YERS_1423	core
YERS_1424	core
YERS_1425	core
YERS_1426	core
YERS_1427	core
YERS_1428	core
YERS_1429	core
YERS_1430	core
YERS_1431	core
YERS_1432	core
YERS_1433	core
YERS_1434	core
YERS_1435	core
YERS_1436	core
YERS_1437	core
YERS_1438	core
YERS_1439	core
YERS_1440	core
YERS_1441	core
YERS_1442	core
YERS_1443	core
YERS_1444	core
YERS_1445	core
YERS_1446	core
YERS_1447	core
YERS_1448	core
YERS_1449	core
YERS_1450	core
YERS_1451	core
YERS_1452	core
YERS_1453	core
YERS_1454	core
